Time in,Time out,Script
00:09:07,00:13:03,"What I am going to share with you today, understanding the basics of NLP already right, "
00:13:16,00:16:16,going to share with you somthing called the fundamentals positioning of selling.
00:17:09,00:19:09,For those who are in the selling trade.
00:20:04,00:29:13,"Okay very short, in within half an hour, I will give you a sense of what helps to consistently be in a certain state to sell."
00:29:20,00:31:23,"For those who are not into selling, it's okay."
00:32:11,00:36:03,Why? Because it's the same fundamental that whatever you want to do well. 
00:36:20,00:39:09,"For those who are in whatever trades you are in, "
00:40:05,00:42:22,"if you want to do well in the trade, it's the same concept."
00:43:16,00:44:00,Can?
00:44:13,00:46:14,"So one thing we are going to start off this, "
00:47:10,00:51:10,"when you start talking to people, when you start communicating with people, "
00:53:05,00:58:16,"when you go into sales trade, okay, and you would like to."
00:58:24,01:01:00,I presume you would like to convince the person to go and buy.
01:01:18,01:03:00,Am I right? Okay.
01:03:15,01:04:24,"How would you, how do you normally start?"
01:06:06,01:08:09,How do you normally start a sales conversation?
01:09:01,01:10:05,Firstly build rapport.
01:10:15,01:12:13,"Okay, so tell me how you build rapport?"
01:13:11,01:15:23,"Say how are you, how is your day all that."
01:16:04,01:19:23,"Okay, so you evoke a small talk conversation am I right?"
01:20:16,01:23:22,"Okay, how do you normally start your sales talk?"
01:24:02,01:26:16,Self introduce yourself to the person first.
01:26:21,01:27:05,Okay.
01:28:01,01:31:24,And then some greetings.
01:32:06,01:34:03,"When you start your small talk, "
01:34:13,01:40:10,"and you find that the person smiles back and talk to you in a very friendly manner, do you like it?"
01:41:07,01:41:19,Okay.
01:42:14,01:47:15,"When you talk to the person, you know you ask a few questions, the person gives you the one sentence answer, "
01:48:04,01:52:08,"Okay, I am fine I am alright, are you okay?  "
01:53:15,01:55:05,"Ya, that means he is like not interested."
01:56:03,01:57:15,"Okay, so that is the reading right."
01:58:03,02:00:08,"So today session, what I am going to share with you is very simple."
02:00:16,02:03:08,"Whatever the person is dealing with you right, on right, "
02:03:21,02:08:13,"how do you capture the signal, adjust the signal, return the signal."
02:09:02,02:11:00,So that the conversation starts rolling.
02:11:11,02:16:16,"When the person gives you the one sentence, doesn't mean he is not interested to communicate with you."
02:17:11,02:19:17,Doesn't mean that the selling doesn't happen.
02:20:15,02:26:14,"Okay. When the person communicates with you in a single sentence information, it tells you something."
02:27:07,02:33:12,"The ability to retract away from your normal selling mode, or you try to go in to sell."
02:33:21,02:34:10,Okay.
02:35:09,02:39:12,The ability to retact away from that gives you a lot of information to capture 
02:40:16,02:43:23,and a lot of information thereafter to return it back to the person.
02:44:14,02:49:01,"Can? So before we start anything, I am going to share with you something call sensory acuity."
02:49:24,02:53:02,"Do you realise that there are things up there, without looking at it."
02:54:05,02:56:00,"Okay, I want you to not only do that."
02:57:02,02:58:17,"When you are listening to me, "
03:00:05,03:01:06,can you hear the aircon?
03:03:06,03:03:14,Yes.
03:04:00,03:05:06,"Some yes, some no."
03:05:16,03:08:02,"Okay, I am going to do an exercise with you, bear with me."
03:08:17,03:11:15,"Trust me on this, I am going to ask you to close your eyes and sit up properly."
03:13:17,03:14:11,Can? Bear with me.
03:16:01,03:18:17,"Close your eyes, close your eyes, close your eyes, close your eyes, sit up properly."
03:19:07,03:20:23,"Okay, in the next moment I am going to ask you to do this."
03:21:00,03:23:00,Put your two feets on the ground.
03:23:22,03:26:17,"I am going to give you a series of instruction, follow me on these instructions."
03:26:20,03:32:17,The purpose of this whole instruction is to give you a sense that you have done this before.
03:33:14,03:36:18,"Okay? This is what we call sensory acuity,"
03:36:21,03:41:05,it means the ability to slide the effect to open up your senses. Okay?
03:41:24,03:49:04,"It's very simple, once you open up your senses, it is easier for you to communicate with people as and one you can go back and focus in as and one."
03:49:19,03:51:06,"As you listen to my voice, "
03:52:10,03:53:24,did you realise that your feets 
03:55:05,03:57:05,are on the gound and you can feel your feet on the ground.
03:57:13,04:04:10,"Not only that, you can also slowly rise up and feel that you butt is on the chair."
04:06:05,04:11:04,"And for those of you whose hands are in your legs, on your thighs, you can feel that."
04:11:19,04:14:14,"For some of you who are on the chairs, for some of you, your hands are folded, "
04:15:01,04:18:06,you can feel that your hands are folded and know where your hands are.
04:18:10,04:19:05,You can sense them.
04:19:21,04:25:20,"Not only that as you slowly, as we slowly go up your body, you realise that you can feel your shoulders."
04:25:22,04:27:05,"Some of you, your shoulders are tight, "
04:28:16,04:33:09,"as you breath in and out, you may want to loosen your shoulders."
04:35:11,04:41:00,And as you slowly be able to feel your back either on the chair or your back is really really straight.
04:42:01,04:43:02,As you breathe in 
04:44:19,04:49:24,"and out, you can feel that your chair is actually heaving in and out. "
04:53:11,05:00:09,"As you listen to my voice, not only can you hear my voice, you will start to realise that you can hear the air-conditioning."
05:03:16,05:05:19,As loud as it can be.
05:07:06,05:14:02,"As you slowly open your eyes and look at me, and focus at staring at me, look at me,"
05:15:07,05:18:17,you realise you can see things beyond.
05:19:15,05:24:22,"Okay, just by looking at me, you can see not looking at me, you can see things beyond and far."
05:25:00,05:26:13,"And you can still hear my voice, "
05:28.00,05:29:14,the voice of the air-condition.
05:29:16,05:30:22,Can hear?
05:31:07,05:37:00,"Okay, and at the same time, feel that you're relaxed, sitting down with your back "
05:37:15,05:42:10,"on the chair for you, and your feets are on the ground, your hands are on the thigh, "
05:42:24,05:46:06,"that your hands are crossed, you are lying down with the back "
05:47:07,05:49:00,and you can still hear the air-con.
05:49:11,05:52:20,"This whole sense, okay, when you are talking to people."
05:52:21,05:57:20,"How many of you, by the way, when you are talking to people sometimes you lose the conversation?    "
05:58:06, 05:59:02,Ever?
06:00:18,06:10:18,"When you lose the conversation, sometimes you are distracted, sometimes it's about having, still being able to catch the conversation but having what we call in this state, peripheral vision."
06:11:15,06:17:22,"Peripheral vision gives you a sense of presence, it's about backing away your senses, seeing things more open."
06:18:19,06:27:18,"And then sometimes when the client tells you something, or your lead tells you something, your prosepct tells you something, you can actually focus back into that conversation."
06:27:22,06:32:12,"When you come out from the conversation like where you are now, you get to hear more things."
06:32:19,06:34:12,You get to sense more things.     
06:34:12,06:36:22,Why? Because you are seeing things at a different persepctive.
06:37:10,06:48:11,"But he starts talking about something, ""Sometimes I worry about my children. I don't whether if I, if anything happens to me they will be provided.""."
06:48:18,06:49:17,What is his concern?
06:51:05,06:52:05,Children right. 
06:52:18,06:54:16,And you know when then you can go in.
06:54:20,07:01:10,"So you see when you are out in that sense, you can actually narrow down into information very very fast."
07:02:01,07:03:00,Does it make sense?
07:03:01,07:07:21,"When you back out, you get a sense of things, you know you hear then you go back in."
07:07:22,07:10:09,This is what we call the peripheral and foveal vision.
07:10:10,07:13:12,"Foveal vision means, understanding something, focusing on it."
07:13:19,07:22:23,"Peripheral means, hearing something, realise that oh, I am missing something here, I better back out, get more sense of it."
07:23:02,07:23:22,Can?
07:23:23,07:28:05,"And by the way when you are listening to people, you got girlfriend?"
07:28:20,07:29:17,No?
07:29:23,07:30:22,Wife definitely.
07:31:06,07:32:19,Do you listen to your wife?
07:34:12,07:36:10,Your wife is not here right?
07:36:11,07:34:13,I must ask this question.
07:34:14,07:39:03,Do you listen to your wife?
07:39:13,07:40:03,At times.
07:40:02,07:49:02,"At times, okay, so during times when you listen to your wife, okay, and you listen and you spend time and you give her the time to listen."
07:50:05,07:51:06,Are you trying to?
07:51:13,07:53:24,"Okay, you know your wife sometimes, wife ah, I am married by the way."
07:54:07,07:58:23,"Wife tells you problems right, do you try to solve the problems for her?"
07:58:24,08:00:12,Try if possible.
08:00:13,08:02:20,"Sometimes okay, sometimes right?"
08:02:21,08:04:06,Try if possible right.
08:04:14,08:06:23,I am going to pop this question over to the lady here.
08:06:22,08:10:09,Would you like a man to keep solving your problems for you?
08:10:10,08:11:07,No.
08:11:08,08:13:11,"Okay, I am going to hear louder."
08:13:12,08:16:22,Do you like the man to try to solve all the problems for you?
08:17:03,08:17:17,No.
08:18:04,08:19:17,"Okay, so why?"
08:20:01,08:21:12,We just want them to listen.
08:21:13,08:23:02,So you just want them to listen right?
08:23:08,08:25:02,So what is a good state for listening?
08:25:19,08:29:06,"When you are trying to find out oh got problem, let me solve it for you."
08:29:12,08:32:04,"Or, you just back away and let her talk?"
08:32:22,08:35:00,Back away and let her talk.
08:35:02,08:38:08,"This is the state, a very good state for listening."
08:38:11,08:41:07,It's a very good state for information aquisition.
08:41:08,08:43:06,It's a very good state for backing off. 
08:43:07,08:45:07,You don't physically back off from a person.
08:46:13,08:51:10,You can use whatever I have shared with you to back off from the person in a mental state.
08:51:10,08:53:11,When you back off it doesn't mean you don't want to talk.
08:53:12,08:56:08,When you back off you are seeing things from wider perspective.
08:56:06,09:02:14,"And you can still see things around me, get a sense of it, and you find that listening actually improves."
09:03:02,09:07:03,"Okay, so this is just sharing with you on what we call peripheral vision."
09:07:12,09:10:22,How would you like 
09:11:10,09:14:01,"to go into sales, "
09:15:08,09:21:24,"okay, and be at a, and feel that you can definitely close it and closed it."
09:23:02,09:25:03,Not a bad thing right? Correct?
09:25:14,09:33:14,"Would you like to be able to intro them and they feel that after the introduction they go, wow, and trust you."
09:34:11,09:37:22,Okay. Would you like the people you are dealing with 
09:38:17,09:43:15,trust you and when you say something they actually acquire the information really fast?
09:44:12,09:49:05,"Okay. So, have you ever had the experience where "
09:49:24,09:55:17,the people you are working with actually instantly have the certain liking and trust you?
09:56:09,10:02:17,"Okay and then, whatever when the information you share with them they go hmm okay cool. Ever?"
